City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,davos,46.8043,9.8372,13.47,85,97,3.08,CH,1712329712
84,georgetown,5.4112,100.3354,30.97,70,20,3.13,MY,1712329594
85,martapura,-3.4167,114.85,25.05,94,40,3.6,ID,1712329712
86,morondava,-20.2833,44.2833,29.01,73,0,4.88,MG,1712329638
87,tabuk,17.4189,121.4443,23.49,71,1,2.46,PH,1712329785
88,san mateo del mar,16.2,-95.0,26.66,64,19,12.23,MX,1712329713
89,vorgashor,67.5833,63.95,-18.92,92,100,7.31,RU,1712329713
90,karratha,-20.7377,116.8463,27.61,52,68,0.97,AU,1712329713
91,najran,17.4924,44.1277,27.36,49,99,3.33,SA,1712329713
92,narvik,68.4384,17.4272,-2.33,58,76,4.71,NO,1712329484
93,kruisfontein,-34.0033,24.7314,17.16,76,100,3.15,ZA,1712329696
94,majene,-3.5403,118.9707,26.42,88,84,2.64,ID,1712329713
95,port mathurin,-19.6833,63.4167,26.88,80,100,8.07,MU,1712329714
96,puerto ayora,-0.7393,-90.3518,27.98,90,96,3.13,EC,1712329714
97,freetown,8.484,-13.2299,27.94,74,72,4.29,SL,1712329714
98,zhaqsy,51.9083,67.3133,1.77,95,60,3.07,KZ,1712329714
99,black river,18.0264,-77.8487,30.02,57,19,2.77,JM,1712329714
100,ushuaia,-54.8,-68.3,13.81,47,0,5.66,AR,1712329682
101,stanley,54.868,-1.6985,14.33,77,20,7.72,GB,1712329678
102,laguna,38.421,-121.4238,6.05,92,75,2.06,US,1712329415
103,tazovsky,67.4667,78.7,-4.85,96,100,9.07,RU,1712329715
104,karibib,-21.9333,15.8333,30.76,32,73,3.09,NA,1712329715
105,ust-nera,64.5667,143.2,-18.81,97,45,1.29,RU,1712329715
106,minden,52.2833,8.9167,17.02,81,100,9.26,DE,1712329715
107,revda,56.801,59.9303,8.2,82,100,2.9,RU,1712329715
108,altamirano,16.8833,-92.15,20.33,61,33,1.81,MX,1712329715
109,geraldton,-28.7667,114.6,18.23,82,40,0.51,AU,1712329715
110,callao,-12.0667,-77.15,24.16,78,20,5.14,PE,1712329704
111,sambava,-14.2667,50.1667,26.77,89,74,6.1,MG,1712329716
112,eyl,7.9803,49.8164,28.15,68,48,7.18,SO,1712329716
113,slave lake,55.2834,-114.769,-0.85,77,100,1.58,CA,1712329623
114,gadzhiyevo,69.2551,33.3362,-5.68,79,13,4.86,RU,1712329716
115,hermanus,-34.4187,19.2345,17.67,61,100,8.78,ZA,1712329716
116,lebanon,36.2081,-86.2911,9.03,74,40,0.89,US,1712329612
117,badger,64.8,-147.5333,0.14,93,100,0.0,US,1712329717
118,taphan hin,16.2209,100.4198,36.1,100,1,2.9,TH,1712329717
119,broken hill,-31.95,141.4333,15.85,79,56,6.99,AU,1712329693
120,aasiaat,68.7098,-52.8699,-7.25,91,66,3.64,GL,1712329717
121,anadyr,64.75,177.4833,-19.72,84,0,5.0,RU,1712329717
122,kingston,17.997,-76.7936,32.87,63,20,2.06,JM,1712329351
123,utrik,11.2278,169.8474,26.94,76,68,9.32,MH,1712329717
124,dudinka,69.4058,86.1778,-14.1,79,100,6.99,RU,1712329718
125,winchester center,41.9001,-73.1348,4.64,75,95,2.24,US,1712329718
126,papatowai,-46.5619,169.4708,10.98,79,96,4.93,NZ,1712329718
127,adalar,40.876,29.0947,20.1,37,40,3.09,TR,1712329718
128,sisimiut,66.9395,-53.6735,-3.89,72,20,2.56,GL,1712329718
129,minas de marcona,-15.2119,-75.1103,20.46,71,69,5.92,PE,1712329718
130,nar'yan-mar,67.6713,53.087,-12.8,95,100,3.21,RU,1712329719
131,san juan de miraflores,-12.1629,-76.9635,23.29,81,92,3.37,PE,1712329719
132,tiksi,71.6872,128.8694,-28.62,100,100,2.32,RU,1712329719
133,khanpur mahar,27.8436,69.4137,31.98,13,100,4.0,PK,1712329719
134,ayorou,14.7308,0.9174,42.37,8,25,1.99,NE,1712329719
135,muncar,-8.4333,114.3333,24.35,95,79,1.72,ID,1712329618
136,papao,-17.75,-149.55,26.82,79,64,5.14,PF,1712329720
137,chonchi,-42.6128,-73.8092,12.84,60,29,0.77,CL,1712329720
138,tolanaro,-25.0319,46.9987,24.14,86,7,4.69,MG,1712329720
139,chazuta,-6.5742,-76.1367,29.47,92,93,0.06,PE,1712329720
140,happy valley-goose bay,53.3168,-60.3315,0.14,73,100,5.06,CA,1712329720
141,sochaczew,52.2294,20.2384,18.85,61,100,4.71,PL,1712329720
142,zeya,53.75,127.2667,2.49,95,100,1.24,RU,1712329721
143,nova vicosa,-17.8919,-39.3719,28.81,62,2,3.54,BR,1712329596
144,carnarvon,-24.8667,113.6333,25.75,62,0,7.13,AU,1712329721
145,yigo village,13.5361,144.8886,25.16,90,100,6.17,GU,1712329721
146,monrovia,6.3005,-10.7969,33.87,71,20,4.82,LR,1712329721
147,buala,-8.145,159.5921,27.55,83,100,2.31,SB,1712329721
148,tura,25.5198,90.2201,26.5,27,0,1.46,IN,1712329721
149,martil,35.6166,-5.2752,18.3,80,75,3.42,MA,1712329721
150,gaspe,48.8334,-64.4819,0.12,86,100,8.23,CA,1712329722
151,abaete,-19.16,-45.4458,29.22,56,1,1.73,BR,1712329663
152,mata-utu,-13.2816,-176.1745,29.41,72,100,7.27,WF,1712329722
153,saipan,15.1355,145.701,26.39,89,75,7.2,MP,1712329722
154,keflavik,64.0049,-22.5624,4.24,70,75,8.23,IS,1712329647
155,atafu village,-8.5421,-172.5159,28.49,72,98,0.38,TK,1712329722
156,soe,-9.8607,124.284,19.52,99,100,1.77,ID,1712329722
157,afua,-0.1567,-50.3867,28.09,87,56,3.47,BR,1712329722
158,west island,-12.1568,96.8225,27.99,74,40,5.14,CC,1712329723
159,carauari,-4.8828,-66.8958,32.84,58,95,0.57,BR,1712329723
160,cidade velha,14.9167,-23.6167,27.58,51,84,3.57,CV,1712329723
161,codrington,-38.2667,141.9667,10.86,92,59,2.83,AU,1712329723
162,rio grande,-32.035,-52.0986,25.06,52,0,3.86,BR,1712329679
163,prince rupert,54.3161,-130.3201,4.83,88,75,3.09,CA,1712329511
164,horbranz,47.55,9.75,23.78,55,20,4.63,AT,1712329723
165,carutapera,-1.195,-46.02,28.02,87,72,3.88,BR,1712329723
166,saint-pierre,-21.3393,55.4781,26.82,78,20,2.06,RE,1712329724
167,floro,61.5996,5.0328,6.04,56,0,6.17,NO,1712329561
168,mili,6.0815,171.735,27.29,82,63,7.64,MH,1712329724
169,camargo,27.6667,-105.1667,17.69,22,73,4.32,MX,1712329724
170,klamath falls,42.2249,-121.7817,-1.08,72,40,3.6,US,1712329724
171,mount isa,-20.7333,139.5,20.87,60,100,4.12,AU,1712329724
172,hailun,47.45,126.9333,10.29,23,99,8.72,CN,1712329725
173,galle,6.0367,80.217,28.25,77,29,1.3,LK,1712329725
174,maragogi,-9.0122,-35.2225,30.25,62,25,4.25,BR,1712329725
175,beelitz,52.2333,12.9667,19.52,63,100,5.11,DE,1712329725
176,la sarre,48.8002,-79.1996,1.56,86,100,6.09,CA,1712329573
177,egilsstadir,65.2653,-14.3948,-2.33,77,100,6.44,IS,1712329725
178,cabo san lucas,22.8909,-109.9124,19.86,80,85,3.13,MX,1712329044
179,den helder,52.9599,4.7593,15.55,84,18,11.32,NL,1712329651
180,vila franca do campo,37.7167,-25.4333,16.23,76,67,11.32,PT,1712329725
181,benguela,-12.5763,13.4055,28.56,70,100,3.24,AO,1712329431
182,bel ombre,-4.6167,55.4167,29.27,70,67,1.09,SC,1712329726
183,punta arenas,-53.15,-70.9167,12.06,62,75,14.4,CL,1712329510
184,morong,14.5115,121.2393,29.52,77,100,2.76,PH,1712329726
185,soio,-6.1349,12.3689,28.77,80,100,3.13,AO,1712329458
186,mahibadhoo,3.7833,72.9667,29.8,71,58,3.69,MV,1712329726
187,new norfolk,-42.7826,147.0587,12.62,98,6,0.72,AU,1712329726
188,kuanda,56.3161,116.0806,-11.1,82,95,3.39,RU,1712329726
189,kitimat,54.0524,-128.6534,-2.79,74,47,1.06,CA,1712329553
190,mandalgovi,45.7625,106.2708,4.96,27,19,2.63,MN,1712329727
191,saldanha,-33.0117,17.9442,24.03,64,6,14.3,ZA,1712329552
192,tamanrasset,22.785,5.5228,30.95,6,0,4.12,DZ,1712329727
193,bodo,67.28,14.405,-0.68,54,0,6.71,NO,1712329473
194,pericos,25.05,-107.7,18.95,37,42,1.44,MX,1712329727
195,broome,42.2506,-75.833,3.12,85,100,3.6,US,1712329727
196,el nido,11.1858,119.3956,27.53,82,19,2.52,PH,1712329727
197,gridley,39.3638,-121.6936,6.23,85,100,2.06,US,1712329715
198,fort st. john,56.2499,-120.8529,-1.9,74,40,1.41,CA,1712329727
199,trongsa,27.5026,90.5072,8.58,94,94,1.28,BT,1712329728
200,el alto,-4.2714,-81.2147,27.81,77,97,0.62,PE,1712329728
201,ilulissat,69.2167,-51.1,-2.99,80,75,1.03,GL,1712329728
202,usogorsk,63.4106,48.6872,-7.41,77,68,1.91,RU,1712329728
203,krasnokamensk,50.0979,118.0369,0.62,71,34,3.07,RU,1712329728
204,kavaratti,10.5669,72.642,28.95,67,55,3.78,IN,1712329728
205,smithers,54.7804,-127.1743,-0.5,75,17,0.62,CA,1712329658
206,qarazhal,48.0078,70.7903,10.88,41,5,2.09,KZ,1712329729
207,lampasas,31.2168,-98.2336,23.38,37,3,7.11,US,1712329552
208,kongwa,-6.2,36.4167,22.41,89,100,2.01,TZ,1712329729
209,phan rang-thap cham,11.5667,108.9833,24.51,82,3,1.07,VN,1712329590
210,breyten,-26.3018,29.987,19.48,61,88,1.09,ZA,1712329729
211,rongelap,11.1635,166.8941,26.94,78,91,9.25,MH,1712329729
212,aitape,-3.1374,142.3475,26.14,90,99,1.85,PG,1712329729
213,tashtyp,52.7939,89.8983,7.56,87,82,1.43,RU,1712329730
214,ridgefield,40.8343,-74.0088,8.32,56,100,7.72,US,1712329730
215,al faw,29.9776,48.4741,32.0,32,0,4.61,IQ,1712329637
216,vilyuchinsk,52.9306,158.4028,-3.75,83,98,4.26,RU,1712329730
217,lebu,-37.6167,-73.65,15.23,73,0,5.74,CL,1712329730
218,albertina,-22.2008,-46.6158,29.81,39,7,1.49,BR,1712329730
219,sandnessjoen,66.0217,12.6316,-0.71,59,75,4.12,NO,1712329730
220,naze,28.3667,129.4833,19.15,90,100,1.61,JP,1712329730
221,tofol,5.3248,163.0078,28.19,76,96,8.2,FM,1712329730
222,road town,18.4167,-64.6167,29.02,74,40,2.57,VG,1712329731
223,taurage,55.2522,22.2897,10.72,79,100,4.83,LT,1712329731
224,khandyga,62.6667,135.6,-8.21,91,100,2.03,RU,1712329731
225,nguigmi,14.2495,13.1092,36.71,10,89,5.07,NE,1712329731
226,yakeshi,49.2833,120.7333,-1.81,96,91,2.9,CN,1712329731
227,jiangyou,31.7667,104.7167,14.82,89,100,1.12,CN,1712329731
228,konibodom,40.2843,70.4426,21.47,22,99,2.39,TJ,1712329731
229,adam,22.3756,57.5233,30.62,9,9,6.19,OM,1712329732
230,ishigaki,24.3448,124.1572,23.52,89,99,6.21,JP,1712329705
231,heroica matamoros,25.8833,-97.5,24.95,65,0,8.75,MX,1712329729
232,natal,-5.795,-35.2094,32.36,66,75,5.14,BR,1712329507
233,north bend,43.4065,-124.2243,4.99,93,100,4.63,US,1712329506
234,nantucket,41.2835,-70.0995,7.86,65,0,10.29,US,1712329704
235,quellon,-43.1167,-73.6167,12.44,77,93,2.5,CL,1712329732
236,ratnagiri,16.9833,73.3,27.46,74,6,5.2,IN,1712329732
237,ban karon,7.8477,98.2985,28.95,79,58,5.7,TH,1712329733
238,nemuro,43.3236,145.575,2.0,89,45,3.69,JP,1712329733
239,kupang,-10.1667,123.5833,28.32,89,73,2.06,ID,1712329733
240,port sudan,19.6175,37.2164,28.01,65,0,4.35,SD,1712329733
241,constantia,44.1833,28.65,18.17,67,72,2.52,RO,1712329733
242,sur,22.5667,59.5289,25.98,59,18,1.12,OM,1712329551
243,nishinoomote,30.7333,131.0,18.62,87,100,8.75,JP,1712329733
244,vernon,50.2581,-119.2691,5.74,72,100,1.54,CA,1712329584
245,abqaiq,25.9371,49.6776,32.55,8,0,4.63,SA,1712329733
246,shalqar,47.8333,59.6,16.14,40,7,3.65,KZ,1712329734
247,pacific grove,36.6177,-121.9166,8.06,82,100,1.54,US,1712329734
248,gualeguay,-33.1416,-59.3097,22.5,57,0,2.95,AR,1712329734
249,xilin hot,43.9667,116.0333,6.86,36,1,6.68,CN,1712329522
250,gisborne,-38.6533,178.0042,14.01,78,90,3.96,NZ,1712329654
251,saint-philippe,-21.3585,55.7679,26.77,86,53,1.66,RE,1712329734
252,luderitz,-26.6481,15.1594,22.14,55,56,11.86,NA,1712329695
253,cadale,2.7603,46.3222,29.68,72,96,5.47,SO,1712329734
254,den burg,53.0542,4.7972,15.54,84,18,11.32,NL,1712329735
255,susuman,62.7833,148.1667,-24.45,100,54,0.45,RU,1712329735
256,terebovlya,49.3019,25.71,15.13,59,79,4.95,UA,1712329735
257,marovoay,-16.1,46.6333,30.06,59,4,1.5,MG,1712329735
258,guerrero negro,27.9769,-114.0611,15.79,61,100,7.11,MX,1712329703
259,santiago de cao,-7.9589,-79.2392,22.07,83,95,4.63,PE,1712329576
260,coahuayana de hidalgo,18.7,-103.6583,26.48,32,12,0.54,MX,1712329735
261,chipata,-13.6333,32.65,23.29,86,96,1.49,ZM,1712329555
262,fisterra,42.9049,-9.2629,23.19,59,100,16.73,ES,1712329735
263,adigrat,14.277,39.462,18.98,62,97,3.02,ET,1712329736
264,flin flon,54.7682,-101.865,2.91,52,75,2.57,CA,1712329452
265,midelt,32.6852,-4.7451,25.13,12,8,3.34,MA,1712329736
266,opuwo,-18.0607,13.84,29.16,44,90,4.29,NA,1712329736
267,woolgoolga,-30.1106,153.2007,20.58,93,71,3.22,AU,1712329736
268,eraan,9.0629,117.7016,26.1,82,4,2.44,PH,1712329736
269,kapuskasing,49.4169,-82.4331,1.05,64,20,5.66,CA,1712329502
270,aswan,24.0934,32.907,35.88,10,0,6.77,EG,1712329645
271,mocimboa,-11.3167,40.35,27.03,89,81,2.87,MZ,1712329736
272,holualoa,19.6228,-155.9522,19.91,95,75,4.12,US,1712329737
273,ola,59.5833,151.2833,-9.37,91,77,2.77,RU,1712329737
274,santa ana,33.7456,-117.8678,9.5,89,75,3.6,US,1712329661
275,isafjordur,66.0755,-23.124,0.02,59,75,7.72,IS,1712329737
276,nizhneangarsk,55.7833,109.55,-10.0,84,82,2.24,RU,1712329734
277,santa rosa misiones,-26.8667,-56.85,28.37,66,94,1.25,PY,1712329737
278,hotan,37.0997,79.9269,16.22,16,73,3.84,CN,1712329737
279,isangel,-19.55,169.2667,25.37,82,74,6.67,VU,1712329668
280,polyarnyy,69.1989,33.4478,-5.38,78,13,4.82,RU,1712329737
281,mirnyy,62.5353,113.9611,-18.76,84,100,5.81,RU,1712329496
282,salgueiro,-8.0742,-39.1192,31.89,47,92,3.23,BR,1712329605
283,plastun,44.7561,136.2939,2.39,56,38,1.94,RU,1712329569
284,kavieng,-2.5744,150.7967,27.94,81,97,2.73,PG,1712329738
285,kappeln,54.6612,9.9313,13.36,90,100,11.76,DE,1712329738
286,san juan,-31.5375,-68.5364,26.29,41,0,2.03,AR,1712329597
287,haiku-pauwela,20.9219,-156.3051,21.69,82,0,7.72,US,1712329738
288,kindu,-2.95,25.95,27.31,73,94,0.95,CD,1712329543
289,katsuren-haebaru,26.3369,127.8719,22.43,93,40,2.06,JP,1712329738
290,hamilton,39.1834,-84.5333,8.13,78,100,4.63,US,1712329553
291,acara,-1.9608,-48.1967,32.04,58,83,2.06,BR,1712329739
292,kalmunai,7.4167,81.8167,28.1,78,99,3.35,LK,1712329603
293,malango,-2.9627,119.9001,20.53,98,99,0.95,ID,1712329739
294,uitenhage,-33.7576,25.3971,18.13,78,100,2.88,ZA,1712329739
295,pavilosta,56.8879,21.1859,5.95,85,98,6.04,LV,1712329739
296,celestun,20.8667,-90.4,25.64,53,26,3.36,MX,1712329739
297,amalapuram,16.5833,82.0167,27.62,76,0,3.14,IN,1712329739
298,san antonio de pale,-1.4014,5.6325,28.22,76,99,2.14,GQ,1712329739
299,nadym,65.5333,72.5167,-5.02,94,100,8.7,RU,1712329739
300,island harbour,50.724,-1.2758,16.2,80,100,4.02,GB,1712329740
301,hurricane,37.1753,-113.2899,9.19,49,70,4.02,US,1712329740
302,siwa oasis,29.2041,25.5195,30.38,15,3,6.0,EG,1712329740
303,antsiranana,-12.2787,49.2917,29.42,70,40,5.14,MG,1712329589
304,alofi,-19.0595,-169.9187,25.94,83,40,4.63,NU,1712329740
305,bathsheba,13.2167,-59.5167,30.34,74,40,9.26,BB,1712329740
306,hithadhoo,-0.6,73.0833,28.6,74,98,1.57,MV,1712329740
307,dryden,49.7833,-92.7503,2.04,67,71,3.33,CA,1712329740
308,kailua-kona,19.6406,-155.9956,21.98,95,75,4.12,US,1712329518
309,sao tome,0.3365,6.7273,27.51,80,100,2.92,ST,1712329741
310,la passe,45.5549,-0.8967,25.13,57,100,3.22,FR,1712329741
311,san patricio,28.017,-97.5169,24.39,52,3,6.0,US,1712329741
312,hirara,24.8,125.2833,22.96,92,81,4.1,JP,1712329741
313,sant lluis,39.8526,4.2594,20.22,52,0,6.17,ES,1712329741
314,shepparton,-36.3833,145.4,15.84,87,100,1.81,AU,1712329741
315,lichuan,30.3,108.85,8.62,96,100,1.4,CN,1712329741
316,pimentel,-6.8367,-79.9342,27.16,61,0,2.06,PE,1712329741
317,arzgir,45.3728,44.2206,16.16,47,100,2.3,RU,1712329742
318,cartagena,10.3997,-75.5144,32.79,62,20,2.06,CO,1712329689
319,navasota,30.388,-96.0877,22.46,55,0,2.73,US,1712329524
320,bissau,11.8636,-15.5977,28.1,65,49,6.61,GW,1712329742
321,biltine,14.5333,20.9167,39.7,7,100,3.72,TD,1712329573
322,saudarkrokur,65.7461,-19.6394,-1.85,57,34,0.89,IS,1712329742
323,fort bragg,35.139,-79.006,13.44,43,0,3.09,US,1712329743
324,itaituba,-4.2761,-55.9836,24.14,99,100,1.32,BR,1712329743
325,sukhodol,53.9006,51.2117,9.06,87,100,2.18,RU,1712329743
326,klyuchi,52.2667,79.1667,12.02,57,97,3.09,RU,1712329743
327,berdigestyakh,62.0989,126.6992,-23.89,100,29,1.24,RU,1712329743
328,erenhot,43.6475,111.9767,8.98,35,1,4.9,CN,1712329522
329,pitimbu,-7.4706,-34.8086,32.33,72,27,5.22,BR,1712329618
330,san rafael,-34.6177,-68.3301,22.73,30,0,2.33,AR,1712329743
331,zahedan,29.4963,60.8629,22.95,16,20,3.09,IR,1712329744
332,melendugno,40.2747,18.3368,21.7,55,83,4.18,IT,1712329744
333,bayji,34.9311,43.487,30.59,15,0,4.12,IQ,1712329744
334,castillos,-34.1667,-53.8333,22.46,44,0,2.63,UY,1712329744
335,barnoldswick,53.9171,-2.1871,15.8,76,29,9.41,GB,1712329744
336,remire-montjoly,4.9167,-52.2667,32.02,66,75,7.2,GF,1712329599
337,acapulco de juarez,16.8634,-99.8901,26.9,61,20,1.54,MX,1712329703
338,lexington,37.9887,-84.4777,6.0,81,100,3.6,US,1712329674
339,st. john's,47.5649,-52.7093,0.93,97,100,5.66,CA,1712329650
340,deniliquin,-35.5333,144.9667,15.53,92,100,4.55,AU,1712329745
341,kapa'a,22.0752,-159.319,21.99,85,100,7.72,US,1712329745
342,boa vista,2.8197,-60.6733,26.99,83,75,5.66,BR,1712329694
343,harper,4.375,-7.7169,29.89,70,44,4.09,LR,1712329745
344,lorengau,-2.0226,147.2712,27.4,81,82,1.71,PG,1712329745
345,princeville,45.7668,-61.2985,3.7,96,100,9.26,CA,1712329745
346,ascencion,31.1,-107.9833,16.71,25,7,5.45,MX,1712329745
347,les sables-d'olonne,46.6667,-1.8333,20.44,78,100,4.6,FR,1712329559
348,beoumi,7.6736,-5.5764,37.46,32,16,2.63,CI,1712329746
349,nova sintra,14.8667,-24.7167,23.75,77,80,7.82,CV,1712329746
350,namibe,-15.1961,12.1522,25.97,63,69,6.21,AO,1712329746
351,posto fiscal rolim de moura,-13.0833,-62.2667,24.67,95,100,0.24,BR,1712329746
352,burang,30.25,81.1667,-6.94,94,78,2.16,CN,1712329746
353,la libertad,-2.2333,-80.9,27.81,74,20,2.06,EC,1712329746
354,yuzhno-kurilsk,44.0306,145.8556,0.76,91,6,2.17,RU,1712329685
355,yeppoon,-23.1333,150.7333,21.88,81,90,6.0,AU,1712329746
356,salinopolis,-0.6136,-47.3561,27.82,86,100,5.87,BR,1712329658
357,balabac,7.9868,117.0645,28.21,75,13,5.17,PH,1712329747
358,cervantes,-39.05,-67.3833,19.88,31,0,0.64,AR,1712329655
359,bacabal,-4.2917,-44.7917,30.4,71,63,2.18,BR,1712329700
360,el calafate,-50.3408,-72.2768,8.16,78,50,2.28,AR,1712329648
361,namdrik,5.5994,168.1028,27.35,82,100,8.25,MH,1712329747
362,crucecita,-28.95,-58.9833,25.93,74,86,4.18,AR,1712329747
363,fale old settlement,-9.3852,-171.2468,28.76,72,93,1.27,TK,1712329747
364,bikin,46.8161,134.26,2.3,63,40,2.81,RU,1712329747
365,dhidhdhoo,6.8833,73.1,29.74,75,100,2.53,MV,1712329747
366,caruthersville,36.1931,-89.6556,11.99,58,0,0.45,US,1712329748
